Time,Buy
2,0
0.683333333,0
3.216666667,1
0.9,0
1.533333333,1
2.883333333,1
0.8,0
1.466666667,0
1.116666667,0
0.6,0
1.35,1
3.183333333,1
2.766666667,0
2.183333333,1
1.5,1
1.333333333,1
1.533333333,0
0.783333333,0
2.983333333,1
4.15,1
0.85,0
2.033333333,1
1.6,0
2.616666667,1
2.683333333,1
1.95,0
0.466666667,1
2.716666667,1
2.333333333,1
3.416666667,1
0.266666667,0
1.383333333,1
0.516666667,0
2.7,1
2.05,0
2.95,1
1.233333333,0
3.616666667,1
1.433333333,1
2.066666667,0
2.066666667,1
1.5,0
2.433333333,0
2.95,1
2.216666667,1
0.916666667,0
2.1,1
3.75,1
1,0
0,0
2.65,1
1.55,0
1.066666667,0
2.016666667,1
0,0
0,0
0.666666667,0
2.516666667,1
1.066666667,0
1.25,0
2.95,1
0,0
1.966666667,0
2.2,1
2.9,1
3.85,1
2.383333333,1
2.083333333,1
3.183333333,1
3.866666667,1
2.183333333,0
2.833333333,1
2.733333333,1
1.383333333,0
1.166666667,0
0.383333333,0
1.166666667,0
1.516666667,0
3.216666667,1
1.133333333,0
0.7,0
0.816666667,0
3.883333333,1
2.216666667,1
0.75,0
2.566666667,0
0,0
0,0
1.766666667,1
1.683333333,1
0.216666667,0
0,0
2.883333333,1
2.466666667,1
1.266666667,0
3.75,1
3.883333333,1
1.566666667,0
1.666666667,0
2.15,1
